car_park_no,update_datetime,capacity_H_lots,available_H_lots,capacity_C_lots,available_C_lots,capacity_Y_lots,available_Y_lots,capacity_L_lots,available_L_lots,capacity_S_lots,available_S_lots,capacity_M_lots,available_M_lots
SIM,2024-04-05T16:03:08,0,0,100,93,0,0,0,0,0,0,0,0
TPMQ,2025-03-08T13:17:45,0,0,662,471,0,0,0,0,0,0,0,0
SK82,2025-03-08T13:17:12,0,0,66,10,0,0,0,0,0,0,0,0
SK84,2025-03-08T13:17:12,0,0,611,417,0,0,0,0,0,0,0,0
S103,2025-03-08T13:16:00,0,0,366,246,0,0,0,0,0,0,0,0
SK76,2025-03-08T13:17:50,0,0,337,212,0,0,0,0,0,0,0,0
SK79,2025-03-08T13:17:50,0,0,253,131,0,0,0,0,0,0,0,0
C40M,2025-03-08T13:19:49,0,0,379,258,0,0,0,0,0,0,0,0
C40L,2025-03-08T13:19:49,0,0,6,0,0,0,0,0,0,0,0,0
KAS,2025-03-08T13:19:32,0,0,26,0,0,0,0,0,0,0,0,0
SLS,2025-03-08T13:19:32,0,0,79,12,0,0,0,0,0,0,0,0
PL88,2025-03-08T13:18:57,0,0,408,238,0,0,0,0,0,0,0,0
P88L,2025-03-08T13:18:57,0,0,8,0,0,0,0,0,0,0,0,0
ECML,2025-03-08T13:19:48,0,0,6,0,0,0,0,0,0,0,0,0
U60,2025-03-08T13:18:56,0,0,558,343,0,0,0,0,0,0,0,0
U58,2025-03-08T13:18:57,0,0,850,505,0,0,0,0,0,0,0,0
TW4,2025-03-08T13:19:04,0,0,266,105,0,0,0,0,0,0,0,0
BE19,2025-03-08T13:19:42,0,0,380,135,0,0,0,0,0,0,0,0
BE22,2025-03-08T13:19:42,0,0,8,0,0,0,0,0,0,0,0,0
PL71,2025-03-08T13:19:30,0,0,732,443,0,0,0,0,0,0,0,0
S107,2025-03-08T13:19:36,0,0,414,233,0,0,0,0,0,0,0,0
U55,2025-03-08T13:17:57,0,0,350,195,0,0,0,0,0,0,0,0
W96,2025-03-08T13:20:59,0,0,756,564,0,0,0,0,0,0,0,0
W25,2025-03-08T13:19:51,0,0,470,241,0,0,0,0,0,0,0,0
Y45,2025-03-08T13:20:20,0,0,223,152,0,0,0,0,0,0,0,0
Y46,2025-03-08T13:20:20,0,0,593,332,0,0,0,0,0,0,0,0
J47,2025-03-08T13:19:17,0,0,34,0,0,0,0,0,0,0,0,0
AM43,2025-03-08T13:19:40,0,0,465,315,0,0,0,0,0,0,0,0
BJ4,2025-03-08T13:19:14,0,0,824,537,0,0,0,0,0,0,0,0
BJ8,2025-03-08T13:19:20,0,0,988,607,0,0,0,0,0,0,0,0
CK66,2025-03-08T13:18:58,0,0,164,76,0,0,0,0,0,0,0,0
J35,2025-03-08T13:16:38,0,0,165,56,0,0,0,0,0,0,0,0
CKM5,2025-03-08T13:19:24,0,0,2754,2520,0,0,0,0,0,0,0,0
CKM6,2025-03-08T13:19:11,0,0,935,721,0,0,0,0,0,0,0,0
GM6A,2025-03-08T13:19:22,0,0,167,68,0,0,0,0,0,0,0,0
SB41,2025-03-08T13:19:41,0,0,464,324,0,0,0,0,0,0,0,0
W785,2025-03-08T13:19:49,0,0,487,294,0,0,0,0,0,0,0,0
CK72,2025-03-08T13:18:55,0,0,680,478,0,0,0,0,0,0,0,0
U56,2025-03-08T13:18:52,0,0,1004,557,0,0,0,0,0,0,0,0
S109,2025-03-08T13:19:33,0,0,481,370,0,0,0,0,0,0,0,0
S110,2025-03-08T13:16:09,0,0,315,222,0,0,0,0,0,0,0,0
BTM3,2025-03-08T13:19:23,0,0,360,174,0,0,0,0,0,0,0,0
U57,2025-03-08T13:18:49,0,0,1070,680,0,0,0,0,0,0,0,0
CKM3,2025-03-08T13:19:06,0,0,456,312,0,0,0,0,0,0,0,0
W783,2023-03-30T10:55:05,0,0,390,155,0,0,0,0,0,0,0,0
TGM4,2025-03-08T13:19:48,0,0,388,266,0,0,0,0,0,0,0,0
Y69M,2025-03-08T13:19:38,0,0,350,233,0,0,0,0,0,0,0,0
Y70M,2025-03-08T13:19:48,0,0,1248,839,0,0,0,0,0,0,0,0
Y71M,2025-03-08T13:19:26,0,0,423,283,0,0,0,0,0,0,0,0
SE9,2025-03-08T13:19:22,0,0,470,318,0,0,0,0,0,0,0,0
BJ60,2025-03-08T13:19:17,0,0,920,753,0,0,0,0,0,0,0,0
C15M,2025-03-08T13:19:45,0,0,289,182,0,0,0,0,0,0,0,0
HG3B,2025-03-08T13:19:46,0,0,422,248,0,0,0,0,0,0,0,0
HG3D,2025-03-08T13:19:54,0,0,265,155,0,0,0,0,0,0,0,0
CK9A,2025-03-08T13:19:19,0,0,372,197,0,0,0,0,0,0,0,0
SGTM,2025-03-08T13:19:12,0,0,429,280,0,0,0,0,0,0,0,0
TPL,2025-03-08T13:19:32,0,0,18,0,0,0,0,0,0,0,0,0
J5,2025-03-08T13:18:36,0,0,192,137,0,0,0,0,0,0,0,0
S108,2025-03-08T13:18:01,0,0,900,594,0,0,0,0,0,0,0,0
SK98,2025-03-08T13:17:29,0,0,816,480,0,0,0,0,0,0,0,0
S106,2025-03-08T13:17:01,0,0,478,370,0,0,0,0,0,0,0,0
BJ57,2025-03-08T13:19:48,0,0,24,0,0,0,0,0,0,0,0,0
S104,2025-03-08T13:17:44,0,0,339,208,0,0,0,0,0,0,0,0
S105,2025-03-08T13:16:27,0,0,367,252,0,0,0,0,0,0,0,0
SK99,2025-03-08T13:17:07,0,0,824,541,0,0,0,0,0,0,0,0
BM10,2025-03-08T13:19:33,0,0,422,211,0,0,0,0,0,0,0,0
BM13,2025-03-08T13:19:33,0,0,143,42,0,0,0,0,0,0,0,0
PL75,2025-03-08T13:20:13,0,0,579,312,0,0,0,0,0,0,0,0
